Id,InternalName,DisplayName,ItemCategory,ItemSubType,ThemeSource,ThemeTags,BreedAffinityTags,Rarity,EffectType,TriggerType,AffectedStats,ValueA,ValueB,ValueC,Duration,StackRule,MaxStack,BasePrice,ShopWeight,IconKey,VfxKey,SfxKey,UnlockCondition,IsEnabled,Remark
item_catnip_bundle_01,CatnipBundle,Catnip Bundle,food,catnip,likes,catnip|excited|playful,curious|playful|agile,uncommon,trigger,on_wave_start,attack_speed|move_speed,0.15,4.0,0,4,additive,5,20,80,Icon_Item_CatnipBundle,VFX_Buff_Catnip,SFX_Item_Catnip_01,default,True,Playable item pool v1
item_dried_sardine_pack_01,DriedSardinePack,Dried Sardine Pack,food,fish_dry,likes,fish|protein|reward,melee|wild,common,stat_bonus,passive,melee_damage|ranged_damage,1.0,1.0,0,0,additive,10,16,90,Icon_Item_DriedSardine,VFX_Buff_Fish,SFX_Item_Fish_01,default,True,Playable item pool v1
item_wheatgrass_pot_01,WheatgrassPot,Wheatgrass Pot,food,catgrass,likes,digestion|recovery|calm,gentle|healing,common,healing,on_wave_end,hp_recovery|harvesting,2.0,1.0,0,0,additive,5,18,85,Icon_Item_Wheatgrass,VFX_Heal_Green,SFX_Item_Grass_01,default,True,Playable item pool v1
item_scratching_board_01,ScratchingBoard,Scratching Board,tool,scratcher,likes,scratching|marking|territory,brawler|wild,common,stat_bonus,passive,attack_speed|armor,0.08,1.0,0,0,additive,8,18,85,Icon_Item_ScratchingBoard,VFX_Buff_Scratch,SFX_Item_Scratch_01,default,True,Playable item pool v1
item_sunbeam_cushion_01,SunbeamCushion,Sunbeam Cushion,environment,cushion,likes,warm_place|rest|sunlight,calm|gentle,uncommon,healing,passive,max_hp|hp_recovery,4.0,1.0,0,0,additive,6,22,70,Icon_Item_SunbeamCushion,VFX_Buff_Sun,SFX_Item_Cushion_01,default,True,Playable item pool v1
item_climbing_shelf_01,ClimbingShelf,Climbing Shelf,environment,shelf,likes,high_place|observation|jump,agile|ranged,uncommon,stat_bonus,passive,move_speed|dodge,0.15,0.03,0,0,additive,5,24,65,Icon_Item_ClimbingShelf,VFX_Buff_Wind,SFX_Item_Wood_01,default,True,Playable item pool v1
item_paper_box_fort_01,PaperBoxFort,Paper Box Fort,environment,box,likes,small_space|hide|safety,ghost|sensitive,uncommon,defense,passive,dodge|armor,0.04,1.0,0,0,additive,5,24,60,Icon_Item_PaperBox,VFX_Buff_Box,SFX_Item_Box_01,default,True,Playable item pool v1
item_quiet_blanket_01,QuietBlanket,Quiet Blanket,care,blanket,likes,quiet_corner|rest|calm,calm|support,common,utility,on_wave_start,armor|luck,1.0,1.0,0,6,additive,5,18,80,Icon_Item_QuietBlanket,VFX_Buff_Calm,SFX_Item_Blanket_01,default,True,Playable item pool v1
item_purring_collar_01,PurringCollar,Purring Collar,care,collar,behavior,purr|calm|healing,doctor|support,rare,healing,on_take_damage,hp_recovery|luck,1.0,1.0,0,0,additive,3,34,38,Icon_Item_PurringCollar,VFX_Heal_Purr,SFX_Item_Collar_01,default,True,Playable item pool v1
item_grooming_brush_01,GroomingBrush,Grooming Brush,care,brush,care,clean|grooming|comfort,gentle|guardian,common,stat_bonus,passive,dodge|max_hp,0.02,2.0,0,0,additive,6,18,75,Icon_Item_GroomingBrush,VFX_Buff_Clean,SFX_Item_Brush_01,default,True,Playable item pool v1
item_flea_repellent_drop_01,FleaRepellent,Flea Repellent,care,repellent,care,repel|clean|safe,support|independent,common,defense,passive,armor|move_speed,1.0,0.05,0,0,additive,5,20,70,Icon_Item_Repellent,VFX_Buff_Shield,SFX_Item_Drop_01,default,True,Playable item pool v1
item_vaccine_badge_01,VaccineBadge,Vaccine Badge,care,vaccine,care,resilience|health|protect,guardian|support,rare,defense,passive,armor|max_hp,2.0,5.0,0,0,additive,3,36,32,Icon_Item_VaccineBadge,VFX_Buff_Health,SFX_Item_Badge_01,default,True,Playable item pool v1
item_deworm_tablet_01,DewormTablet,Deworm Tablet,care,medicine,care,cleanse|digestion|recovery,healer|gentle,common,healing,on_wave_end,hp_recovery|luck,3.0,1.0,0,0,additive,4,22,58,Icon_Item_DewormTablet,VFX_Heal_Cleanse,SFX_Item_Pill_01,default,True,Playable item pool v1
item_black_cat_amulet_01,BlackCatAmulet,Black Cat Amulet,culture,amulet,culture,black_cat|mystic|lucky|wealth,lucky|alert|independent,rare,economy,passive,luck|material_gain,3.0,0.1,0,0,additive,3,32,45,Icon_Item_BlackCatAmulet,VFX_Buff_Mystic,SFX_Item_Charm_01,default,True,Playable item pool v1
item_white_cat_ribbon_01,WhiteCatRibbon,White Cat Ribbon,culture,ribbon,color,white_cat|purity|grace,gentle|ghost,uncommon,defense,passive,dodge|hp_recovery,0.03,1.0,0,0,additive,5,24,55,Icon_Item_WhiteCatRibbon,VFX_Buff_Purity,SFX_Item_Ribbon_01,default,True,Playable item pool v1
item_calico_coin_01,CalicoCoin,Calico Coin,culture,coin,color,calico|lucky|wealth,lucky|merchant,rare,economy,on_kill,material_gain|luck,0.08,1.0,0,0,additive,5,30,42,Icon_Item_CalicoCoin,VFX_Buff_Coin,SFX_Item_Coin_01,default,True,Playable item pool v1
item_tiger_tabby_paint_01,TigerTabbyPaint,Tiger Tabby Paint,culture,pigment,color,tabby|wild_power|stripe,brawler|hunter,uncommon,stat_bonus,passive,melee_damage|crit_chance,2.0,0.03,0,0,additive,4,26,50,Icon_Item_TigerPaint,VFX_Buff_Stripe,SFX_Item_Paint_01,default,True,Playable item pool v1
item_feather_teaser_01,FeatherTeaser,Feather Teaser,toy,teaser,likes,feather|hunt|tease,ranger|speedy,common,trigger,on_kill,move_speed|attack_speed,0.05,0.05,0,3,additive,6,18,80,Icon_Item_FeatherTeaser,VFX_Buff_Feather,SFX_Item_Feather_01,default,True,Playable item pool v1
item_laser_battery_01,LaserBattery,Laser Battery,tool,battery,likes,laser|focus|precision,ranger|engineer,uncommon,stat_bonus,passive,ranged_damage|crit_chance,2.0,0.04,0,0,additive,5,26,52,Icon_Item_LaserBattery,VFX_Buff_Laser,SFX_Item_Battery_01,default,True,Playable item pool v1
item_fish_fountain_01,FishFountain,Fish Fountain,environment,fountain,likes,water|drink|recovery,doctor|support,rare,healing,on_wave_end,hp_recovery|max_hp,4.0,2.0,0,0,additive,4,34,34,Icon_Item_FishFountain,VFX_Heal_Water,SFX_Item_Fountain_01,default,True,Playable item pool v1
