Id,StageIndex,WaveIndex,DisplayName,Duration,NormalEnemyPool,EliteEnemyPool,BossEnemyPool,SpawnBudget,SpawnInterval,MaxAliveCount,ThreatThemeTags,EnvironmentPressureTags,RewardMaterial,RewardChestCount,ShopRefreshBonus,BgmKey,MapTag,IsEliteWave,IsBossWave,Remark
wave_01,1,1,Wave 01,20,enemy_dog_stray_01,,,100,1.0,25,dog|street,,30,0,0,BGM_Battle_01,street_night,False,False,Tutorial opener with basic pursuit pressure.
wave_02,1,2,Wave 02,25,enemy_dog_stray_01|enemy_shadow_puff_01,,,130,0.95,30,dog|shadow,,36,0,0,BGM_Battle_01,street_night,False,False,Introduces nuisance enemies.
wave_03,1,3,Wave 03,25,enemy_dog_stray_01|enemy_snake_alley_01,,,150,0.9,32,dog|reptile,stranger,42,0,0,BGM_Battle_01,street_night,False,False,Adds ambush pressure.
wave_04,1,4,Wave 04,28,enemy_dog_stray_01|enemy_robot_vacuum_01|enemy_shadow_puff_01,,,180,0.85,36,dog|robot,noise,48,0,0,BGM_Battle_01,street_night,False,False,Robots enter the pool.
wave_05,1,5,Wave 05,30,enemy_dog_stray_01|enemy_stranger_cat_01,enemy_owl_hunter_01,,220,0.82,38,dog|stranger,noise|stranger,56,1,0,BGM_Battle_01,street_night,True,False,First elite wave.
wave_06,1,6,Wave 06,30,enemy_snake_alley_01|enemy_stranger_cat_01|enemy_robot_vacuum_01,,,250,0.8,40,reptile|robot|stranger,noise,60,0,0,BGM_Battle_01,alley_mix,False,False,Mixed enemy routing check.
wave_07,1,7,Wave 07,32,enemy_dog_stray_01|enemy_snake_alley_01|enemy_stranger_cat_01|enemy_noise_speaker_01,,,280,0.78,42,dog|noise|territory,noise|stranger,66,0,0,BGM_Battle_01,alley_mix,False,False,Ranged pressure increases.
wave_08,1,8,Wave 08,32,enemy_robot_vacuum_01|enemy_noise_speaker_01|enemy_shadow_puff_01,,,310,0.75,44,robot|shadow|noise,noise,72,0,0,BGM_Battle_01,indoor_shift,False,False,Technology-focused threat wave.
wave_09,1,9,Wave 09,34,enemy_dog_stray_01|enemy_robot_vacuum_01|enemy_snake_alley_01|enemy_stranger_cat_01,,,340,0.72,46,dog|robot|reptile|stranger,noise|stranger,80,0,0,BGM_Battle_01,alley_mix,False,False,General stress test wave.
wave_10,1,10,Wave 10,35,enemy_dog_stray_01|enemy_robot_vacuum_01|enemy_noise_speaker_01,enemy_hostile_catcher_01,,380,0.7,48,human_hostile|robot|dog,noise|stranger,90,1,1,BGM_Battle_02,danger_zone,True,False,Second elite wave.
wave_11,1,11,Wave 11,36,enemy_dog_stray_01|enemy_snake_alley_01|enemy_shadow_puff_01|enemy_noise_speaker_01|enemy_stranger_cat_01,,,420,0.68,50,shadow|dog|noise,noise|stranger,100,0,0,BGM_Battle_02,danger_zone,False,False,Five-pool mixed pressure.
wave_12,1,12,Wave 12,36,enemy_robot_vacuum_01|enemy_snake_alley_01|enemy_shadow_puff_01|enemy_stranger_cat_01,,,450,0.66,52,robot|shadow|reptile,noise,110,0,0,BGM_Battle_02,danger_zone,False,False,Indoor and outdoor threat blend.
wave_13,1,13,Wave 13,38,enemy_dog_stray_01|enemy_robot_vacuum_01|enemy_snake_alley_01|enemy_noise_speaker_01,,,500,0.64,54,dog|robot|reptile|noise,noise,120,0,0,BGM_Battle_02,danger_zone,False,False,High budget density wave.
wave_14,1,14,Wave 14,40,enemy_dog_stray_01|enemy_robot_vacuum_01|enemy_snake_alley_01|enemy_stranger_cat_01|enemy_noise_speaker_01,,,560,0.62,56,dog|robot|stranger|noise,noise|stranger,130,0,1,BGM_Battle_02,danger_zone,False,False,Pre-boss compression wave.
wave_15,1,15,Wave 15,50,enemy_dog_stray_01|enemy_robot_vacuum_01|enemy_shadow_puff_01,enemy_owl_hunter_01|enemy_hostile_catcher_01,enemy_dog_alpha_01|enemy_vacuum_overlord_01,650,0.58,60,boss|dog|robot,noise|stranger,180,2,2,BGM_Boss_01,boss_arena,False,True,First boss wave.
