Id,InternalName,DisplayName,WeaponClass,WeaponSubType,ThemeSource,ThemeTags,BreedAffinityTags,Rarity,DamageType,TargetingType,BaseDamage,DamageScale,Cooldown,Range,ProjectileSpeed,PierceCount,BounceCount,Knockback,CritBonus,LifeStealBonus,AttackAnimKey,VfxKey,SfxKey,MergeToId,ShopWeight,UnlockCondition,IsEnabled,Remark
wpn_toy_rod_01,ToyRod,Toy Rod,melee,rod,toy,rod|tease|starter,balanced|starter,common,physical,nearest,10,1.0,0.95,1.5,0,0,0,0.4,0.0,0.0,attack_rod_swing,vfx_hit_wood_small,sfx_hit_wood_01,wpn_toy_rod_02,100,default,True,Playable weapon pool v1
wpn_toy_rod_02,ToyRodPlus,Toy Rod Plus,melee,rod,toy,rod|reach|starter,balanced|starter,uncommon,physical,nearest,16,1.2,0.82,1.9,0,0,0,0.6,0.02,0.0,attack_rod_swing_heavy,vfx_hit_wood_medium,sfx_hit_wood_02,,55,default,True,Playable weapon pool v1
wpn_claw_01,Claw,Claw,melee,claw,body_part,claw|scratch|marking,wild|agile,common,physical,nearest,12,1.0,0.8,1.2,0,0,0,0.5,0.0,0.0,attack_claw_slash,vfx_slash_small,sfx_hit_claw_01,wpn_claw_02,100,default,True,Playable weapon pool v1
wpn_claw_02,ClawPlus,Claw Plus,melee,claw,body_part,claw|slash|bleed,wild|agile,uncommon,bleed,nearest,18,1.25,0.68,1.35,0,0,0,0.7,0.03,0.02,attack_claw_slash_fast,vfx_slash_medium,sfx_hit_claw_02,,55,default,True,Playable weapon pool v1
wpn_paw_glove_01,PawGlove,Paw Glove,melee,glove,body_part,paw|punch|close_range,melee|strong,common,physical,nearest,15,1.15,1.05,1.0,0,0,0,0.9,0.02,0.0,attack_paw_punch,vfx_hit_impact_small,sfx_hit_punch_01,wpn_paw_glove_02,95,default,True,Playable weapon pool v1
wpn_paw_glove_02,PawGlovePlus,Paw Glove Plus,melee,glove,body_part,paw|impact|breaker,melee|strong,rare,physical,nearest,24,1.35,0.92,1.05,0,0,0,1.2,0.04,0.0,attack_paw_punch_heavy,vfx_hit_impact_medium,sfx_hit_punch_02,,45,default,True,Playable weapon pool v1
wpn_feather_dart_01,FeatherDart,Feather Dart,ranged,dart,toy,feather|hunt|tease,ranged|agile,common,physical,nearest,9,0.95,0.62,6.5,11,0,0,0.0,0.03,0.0,attack_throw_dart,vfx_throw_feather_small,sfx_throw_dart_01,wpn_feather_dart_02,90,default,True,Playable weapon pool v1
wpn_feather_dart_02,FeatherDartPlus,Feather Dart Plus,ranged,dart,toy,feather|hunt|pierce,ranged|agile,uncommon,physical,nearest,14,1.15,0.52,7.2,13,1,0,0.0,0.06,0.0,attack_throw_dart_fast,vfx_throw_feather_medium,sfx_throw_dart_02,,50,default,True,Playable weapon pool v1
wpn_purr_staff_01,PurrStaff,Purr Staff,support,staff,behavior,purr|calm|arcane,magic|support,common,magic,nearest,11,1.0,0.95,5.8,10,0,0,0.1,0.02,0.0,attack_cast_purr,vfx_magic_purr_small,sfx_magic_purr_01,wpn_purr_staff_02,85,default,True,Playable weapon pool v1
wpn_purr_staff_02,PurrStaffPlus,Purr Staff Plus,support,staff,behavior,purr|arcane|moon,magic|support,rare,magic,nearest,18,1.25,0.82,6.5,12,0,1,0.1,0.04,0.0,attack_cast_purr_heavy,vfx_magic_purr_medium,sfx_magic_purr_02,,40,default,True,Playable weapon pool v1
wpn_charm_bell_01,CharmBell,Charm Bell,support,bell,culture,bell|lucky|resonance,lucky|support,common,magic,nearest,8,0.85,0.7,5.4,9,0,1,0.0,0.02,0.0,attack_ring_bell,vfx_bell_wave_small,sfx_bell_01,wpn_charm_bell_02,80,default,True,Playable weapon pool v1
wpn_charm_bell_02,CharmBellPlus,Charm Bell Plus,support,bell,culture,bell|wealth|blessing,lucky|support,rare,magic,nearest,13,1.05,0.6,6.0,11,0,2,0.0,0.05,0.0,attack_ring_bell_heavy,vfx_bell_wave_medium,sfx_bell_02,,35,default,True,Playable weapon pool v1
wpn_laser_pointer_01,LaserPointer,Laser Pointer,ranged,laser,toy,laser|tease|chase,curious|playful,common,magic,nearest,8,0.85,0.55,6.8,13,0,1,0.0,0.05,0.0,attack_point_cast,vfx_laser_red,sfx_laser_pointer_01,wpn_laser_pointer_02,75,default,True,Playable weapon pool v1
wpn_laser_pointer_02,LaserPointerPlus,Laser Pointer Plus,ranged,laser,toy,laser|focus|chain,curious|playful,rare,shock,nearest,12,1.0,0.45,7.4,15,0,2,0.0,0.08,0.0,attack_point_cast_fast,vfx_laser_red_chain,sfx_laser_pointer_02,,35,default,True,Playable weapon pool v1
wpn_fishbone_boomerang_01,FishboneBoomerang,Fishbone Boomerang,throw,boomerang,food,fishbone|return|hunt,hunter|wild,common,physical,nearest,13,1.05,1.1,4.8,8,1,0,0.3,0.04,0.0,attack_throw_boomerang,vfx_fishbone_trail_small,sfx_throw_boomerang_01,wpn_fishbone_boomerang_02,70,default,True,Playable weapon pool v1
wpn_fishbone_boomerang_02,FishboneBoomerangPlus,Fishbone Boomerang Plus,throw,boomerang,food,fishbone|return|crit,hunter|wild,rare,physical,nearest,20,1.25,0.96,5.2,10,2,0,0.4,0.08,0.0,attack_throw_boomerang_fast,vfx_fishbone_trail_medium,sfx_throw_boomerang_02,,30,default,True,Playable weapon pool v1
wpn_water_orb_01,WaterOrb,Water Orb,ranged,orb,behavior,water|heal|flow,support|healing,common,magic,nearest,9,0.9,0.82,5.6,9,0,0,0.1,0.0,0.03,attack_cast_orb,vfx_water_orb_small,sfx_water_orb_01,wpn_water_orb_02,75,default,True,Playable weapon pool v1
wpn_water_orb_02,WaterOrbPlus,Water Orb Plus,ranged,orb,behavior,water|heal|tidal,support|healing,rare,magic,nearest,15,1.1,0.72,6.1,11,0,1,0.1,0.02,0.05,attack_cast_orb_heavy,vfx_water_orb_medium,sfx_water_orb_02,,35,default,True,Playable weapon pool v1
wpn_clockwork_mouse_01,ClockworkMouse,Clockwork Mouse,summon,mouse,toy,mouse|mechanic|patrol,engineer|summon,uncommon,physical,nearest,7,0.8,1.25,4.5,7,0,0,0.2,0.0,0.0,attack_release_mouse,vfx_clockwork_mouse_small,sfx_clockwork_01,wpn_clockwork_mouse_02,60,default,True,Playable weapon pool v1
wpn_clockwork_mouse_02,ClockworkMousePlus,Clockwork Mouse Plus,summon,mouse,toy,mouse|mechanic|tracking,engineer|summon,rare,physical,nearest,11,1.0,1.05,5.0,8,0,1,0.2,0.03,0.0,attack_release_mouse_fast,vfx_clockwork_mouse_medium,sfx_clockwork_02,,28,default,True,Playable weapon pool v1
